job_title,company_name,size,founded,type,industry,sector
University - Data Scientist,Booz Allen,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting
Data Scientist,ISE Data Systems,1 to 50 Employees,--,Company - Public,--,--
Data Scientist II,Honeywell,10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology
Research Data Scientist,CEDARS-SINAI,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Data Scientist,Globalstar Inc.,201 to 500 Employees,2003,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications
Junior Scientific Programmer/Data Scientist,University of Minnesota,Unknown,1851,College / University,Colleges & Universities,Education
Data Scientist,New York City Council,Unknown,--,Government,Municipal Agencies,Government & Public Administration
Sr. Data Scientist,Amazon.com Services LLC,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology
Data Scientist Jr.,Optimal Solutions Group,1 to 50 Employees,2000,Company - Private,Software Development,Information Technology
Jr. R&D Data Scientist,EOS Energy Storage,201 to 500 Employees,2008,Company - Public,Energy & Utilities,"Energy, Mining & Utilities"
Data Engineer - 1 Year Fellowship,Tech Impact,51 to 200 Employees,2003,Nonprofit Organization,Information Technology Support Services,Information Technology
Scientific Programmer/Data Scientist,University of Minnesota,Unknown,1851,College / University,Colleges & Universities,Education
"Irving, TX",Upen Group Inc,,,,,
Data Scientist,"Technuf, LLC",1 to 50 Employees,--,Unknown,--,--
Data Scientist,Kraft Heinz Company,10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing
"South Jordan, UT",Merrick Bank,,,,,
Remote,Assessment Systems Corporation,1 to 50 Employees,--,Contract,--,--
Data Scientist,Honda,10000+ Employees,1948,Company - Public,Transportation Equipment Manufacturing,Manufacturing
Senior Data Analyst - Customer Experience - Remote,Home Depot / THD,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale
Remote - Fraud Data Scientist,Green Dot Corporation,1001 to 5000 Employees,1999,Company - Public,Financial Transaction Processing,Financial Services
"Scientist, Data Science - Drug Discovery and Cellular Modeling",Altos Labs,201 to 500 Employees,--,Company - Private,Biotechnology,Pharmaceutical & Biotechnology
Junior Data Scientist,DonorSearch,1 to 50 Employees,--,Company - Public,Accounting & Tax,Financial Services
Data Scientist,"Buyers Edge Platform, LLC",Unknown,--,Company - Private,Information Technology Support Services,Information Technology
VIE - Data Scientist,AXA,10000+ Employees,1985,Company - Private,Insurance Carriers,Insurance
Assistant Staff - Machine Learning Algorithm Developer,MIT Lincoln Laboratory,1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
AI Analyst,Columbia University,10000+ Employees,1754,College / University,Colleges & Universities,Education
ENT-Data Scientist-Anlst III,National General Insurance,10000+ Employees,1920,Company - Public,Insurance Carriers,Insurance
Senior Machine Learning Data Scientist,ICON plc,10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Scientist- Forecasting,Expansion Capital Group,Unknown,--,Unknown,Banking & Lending,Financial Services
"Framingham, MA","Outcome Referrals, Inc.",,,,,
Data Scientist,"US News & World Report ,L.P.",201 to 500 Employees,1933,Company - Private,Publishing,Media & Communication
"Reston, VA",Actfore,1 to 50 Employees,2022,Company - Private,Information Technology Support Services,Information Technology
"Irvine, CA",Cava Connect,Unknown,--,Company - Private,Staffing & Subcontracting,Human Resources & Staffing
Data Scientist,Quantum Leap Healthcare,1 to 50 Employees,--,Nonprofit Organization,--,--
Data Scientist,Northwestern University,5001 to 10000 Employees,1851,College / University,Colleges & Universities,Education
Data Scientist,"Red Violet, Inc.",Unknown,--,Company - Public,Information Technology Support Services,Information Technology
Data Scientist,Oracle,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology
United States,Imagineeer,,,,,
Machine Learning Data Scientist,LeanPath,51 to 200 Employees,2004,Company - Private,Computer Hardware Development,Information Technology
Data Scientist,NICE Systems,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Science Co-op,Johnson & Johnson,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Jr AI Developer/ Engineer,Triunity Software,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology
DATA SCIENTIST,NYC Careers,Unknown,1625,Government,Municipal Agencies,Government & Public Administration
Associate Staff - Machine Learning Algorithm Developer,MIT Lincoln Laboratory,1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
Data Science Advisor,Ascent Resources,201 to 500 Employees,2014,Company - Private,Energy & Utilities,"Energy, Mining & Utilities"
"Data Scientist, Product Analytics - Machine Learning",Meta,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology
Data Scientist,Combined Insurance,Unknown,1922,Subsidiary or Business Segment,Insurance Carriers,Insurance
Data Scientist I,Horizon Blue Cross Blue Shield of New Jersey,5001 to 10000 Employees,1932,Nonprofit Organization,Insurance Carriers,Insurance
Data Reviewer - Entry Level - *NOT Data Scientist*,Eurofins USA BioPharma Services,10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Junior Data Scientist,Camgian,51 to 200 Employees,2006,Company - Private,Software Development,Information Technology
Data Scientist,Teknatio,1 to 50 Employees,--,Contract,--,--
"Staff Data Scientist, Ecosystem",Pinterest,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology
Data Science Analyst,Greater New York Mutual Insurance Company,201 to 500 Employees,1914,Company - Private,Insurance Carriers,Insurance
Machine Learning Engineer,Attain,501 to 1000 Employees,2009,Company - Private,Business Consulting,Management & Consulting
"Data Scientist, Product Insights","NextDeavor, Inc.",1 to 50 Employees,--,Company - Private,--,--
Data Scientist III (Remote),CrowdStrike,5001 to 10000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist,AstrumU,1 to 50 Employees,2017,Company - Private,Computer Hardware Development,Information Technology
Data Scientist,NICE Systems,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology
Staff Data Scientist,Devoted Health,1001 to 5000 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare
Data / Machine Learning Engineer,Corteva,10000+ Employees,2019,Company - Public,Farm Support,Agriculture
Data Scientist - Pricing,White Cap,5001 to 10000 Employees,2020,Company - Private,Construction,"Construction, Repair & Maintenance Services"
Data Scientist,Lukos,51 to 200 Employees,--,Company - Private,Accounting & Tax,Financial Services
Data Scientist,University of Florida,10000+ Employees,1853,College / University,Colleges & Universities,Education
Data Analytics Analyst,"Allan Myers, Inc",1001 to 5000 Employees,1939,Company - Private,Construction,"Construction, Repair & Maintenance Services"
Data Scientist,Acadia.io,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology
United States,Wellness and Equity Alliance LLC,51 to 200 Employees,--,Nonprofit Organization,--,--
Data Scientist - Pricing & Profitability (Hybrid),Enova International,1001 to 5000 Employees,2004,Company - Public,Banking & Lending,Financial Services
Data Scientist,Chubb,10000+ Employees,1792,Company - Public,Insurance Carriers,Insurance
Data Scientist II,Leverege,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Scientist,Center for Family Health and Education,1 to 50 Employees,--,Company - Public,--,--
Data Scientist,Center for Family Health and Education,1 to 50 Employees,--,Company - Public,--,--
Data Scientist,Xavier University of Louisiana,501 to 1000 Employees,1966,College / University,Colleges & Universities,Education
Data Scientist,AvalonBay Communities,1001 to 5000 Employees,1998,Company - Public,Real Estate,Real Estate
DATA SCIENTIST,US Department of the Air Force - Agency Wide,10000+ Employees,1947,Government,National Agencies,Government & Public Administration
Environmental Data Scientist (Entry Level),"SRC, Inc",1001 to 5000 Employees,1957,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
Data Scientist,Auto-Owners Insurance,5001 to 10000 Employees,1916,Company - Private,Insurance Carriers,Insurance
Data Scientist,Teledyne e2v Semiconductors,5001 to 10000 Employees,1999,Company - Public,Transportation Equipment Manufacturing,Manufacturing
United States,Shamrck,1 to 50 Employees,--,Company - Private,--,--
Data Scientist,"QRC Group, LLC",Unknown,--,Company - Private,Business Consulting,Management & Consulting
Data Scientist,Avanade,10000+ Employees,2000,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,BICP,1 to 50 Employees,2009,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,Kemper,5001 to 10000 Employees,1990,Company - Public,Insurance Carriers,Insurance
United States,COEADAPT INC.,Unknown,--,Company - Public,--,--
Data Scientist,"Fullpower Technologies, Inc.",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology
United States,Citeline,501 to 1000 Employees,--,Company - Private,Biotechnology,Pharmaceutical & Biotechnology
Data Scientist,Marsh,10000+ Employees,1871,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance
"Data Scientist, Paramount Advertising",Paramount,1 to 50 Employees,1998,Company - Private,HR Consulting,Human Resources & Staffing
AI Analyst,Sapiens Development,5001 to 10000 Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist,Sightly Enterprises,1 to 50 Employees,--,Company - Public,Advertising & Public Relations,Media & Communication
Data Scientist II,Caesars Entertainment,10000+ Employees,1937,Company - Public,Gambling,"Arts, Entertainment & Recreation"
Data Scientist,PMX,10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media & Communication
Data Scientist,Fuse Engineering LLC,Unknown,--,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,Dataworks,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,Zurich Insurance Company Ltd.,10000+ Employees,1872,Company - Private,Insurance Carriers,Insurance
Data Analytics/Data Science Analyst,Elevance Health,10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare
California,Pull Systems,1 to 50 Employees,--,Company - Private,--,--
Senior Data Scientist,ActBlue,51 to 200 Employees,2004,Nonprofit Organization,Financial Transaction Processing,Financial Services
R&D Data Scientist,RENFROE,1 to 50 Employees,--,Company - Private,--,--
Data Scientist,Iron EagleX,1 to 50 Employees,--,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Scientist,Tista Science and Technology Corporation,501 to 1000 Employees,2005,Company - Private,Business Consulting,Management & Consulting
Data Scientist,US Air Force Materiel Command,10000+ Employees,1947,Government,National Agencies,Government & Public Administration
Data Analyst - Decision Science,Oak Street Health,1001 to 5000 Employees,2012,Company - Public,Health Care Services & Hospitals,Healthcare
Data Scientist,Spot Inc.,501 to 1000 Employees,2009,Company - Private,Shipping & Trucking,Transportation & Logistics
Data Scientist,Sidley Austin LLP,1001 to 5000 Employees,1866,Company - Private,Legal,Legal
"Sr. Business Data Analyst, Aftermarket Insights",Caterpillar,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing
AI Machine Learning Scientist,Elevance Health,10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare
Data Engineer,Predictive Sales AI,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Chicago, IL",MessageControl,1 to 50 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology
Postdoctoral Scientist - R&D Data Science Analytics & Insights,Johnson & Johnson,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
"Plano, TX",Lendem Solutions,,,,,
Junior Consultant in Strategy & Data Science - New York - January 2024,Ekimetrics,51 to 200 Employees,2006,Company - Private,Advertising & Public Relations,Media & Communication
United States,Fulcrum Analytics,,,,,
"Data Engineer, Analytics",Meta,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology
"Data Scientists - AI Training (Remote Work, Contract)",Outlier,1 to 50 Employees,--,Company - Private,Beauty & Wellness,Personal Consumer Services
Staff Data Scientist - Membership,Uber,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology
Remote,Boxplot,,,,,
Scientist I - Machine Learning,Harvard University,10000+ Employees,1636,College / University,Colleges & Universities,Education
Data Scientist I,Trusaic,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Scientist Input - Apple Vision Pro,Apple,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology
Sr. Business Data Analyst,New American Funding,1001 to 5000 Employees,2003,Company - Private,Banking & Lending,Financial Services
Data Scientist - CA Remote,Amynta Group,1001 to 5000 Employees,--,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Chicago, IL",Big Bright International,1 to 50 Employees,--,Company - Public,--,--
Data Scientist,Carnegie Mellon University,1001 to 5000 Employees,1900,College / University,Colleges & Universities,Education
Data Scientist,etrailer.com,501 to 1000 Employees,1946,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale
Data Scientist,Logistics Management Institute,1001 to 5000 Employees,1961,Company - Private,Business Consulting,Management & Consulting
Associate Data Scientist / Data Scientist,"Applied Systems, Inc.",1001 to 5000 Employees,1983,Company - Private,Software Development,Information Technology
"Data Analyst, Risk Data Mining - USDS",TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
United States,Assetario,,,,,
Staff Data Scientist,Dropbox,1001 to 5000 Employees,2007,Company - Public,Computer Hardware Development,Information Technology
Remote Machine Learning/AI Developer,Scopic,201 to 500 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology
Data Scientist - Risk Analytics,Majority,Unknown,--,Company - Private,Banking & Lending,Financial Services
Associate Consultant-Data Science,Trinity Life Sciences,1001 to 5000 Employees,1996,Company - Private,Business Consulting,Management & Consulting
Data Science Lead,JPMorgan Chase & Co,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services
"Data Scientist, Risk Data Mining",TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
Environmental Data Scientist (Entry Level),"SRC, Inc.",1001 to 5000 Employees,1957,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
Senior Data Scientist - Statistics,United Airlines,10000+ Employees,1926,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics
"Sensing, Data Exploitation, and Algorithm Development Specialists",MIT Lincoln Laboratory,1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
"Data Analyst 3, Marketing Optimization",Nordstrom Inc,10000+ Employees,1901,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale
"Lebanon, OH",CloudXsparks Technologies,,,,,
Statistician I,WuXi AppTec Inc,10000+ Employees,2000,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
"San Francisco, CA",Federato Technologies,1 to 50 Employees,2020,Company - Private,Software Development,Information Technology
Data Engineer / Scientist,BWX Technologies,5001 to 10000 Employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense
"Data Scientist, Global Pricing",Universal Orlando,10000+ Employees,1987,Subsidiary or Business Segment,Hotels & Resorts,Hotels & Travel Accommodation
Jr. Applied Scientist,Amazon.com Services LLC,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology
Applied Machine Learning Engineer,MIT Lincoln Laboratory,1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
"Sr. Data Scientist, Growth",Pinterest,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology
"Staff Data Scientist, Research",Google,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology
Data Analyst/Scientist,Virtue Analytics,1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology
Senior Operations Data Analyst,PG&E Corporation,10000+ Employees,1905,Company - Public,Energy & Utilities,"Energy, Mining & Utilities"
Data Scientist,USI Holdings Corporation,5001 to 10000 Employees,1994,Company - Private,Insurance Agencies & Brokerages,Insurance
United States,Vibronyx,,,,,
Data Scientist 1,University of New Mexico,10000+ Employees,1889,College / University,Colleges & Universities,Education
Data Scientists,Ars Quanta,1 to 50 Employees,--,Company - Private,Business Consulting,Management & Consulting
Data Scientist,"INFOMATICS, INC.",51 to 200 Employees,1998,Company - Private,Information Technology Support Services,Information Technology
Analytics and Data Scientist,Continental,1001 to 5000 Employees,--,Company - Private,--,--
Data Analytics Engineer,Comcast Corporation,10000+ Employees,1963,Company - Public,Telecommunications Services,Telecommunications
Data Scientist,NYC Careers,Unknown,1625,Government,Municipal Agencies,Government & Public Administration
Data Scientist I,University of Kentucky,10000+ Employees,1865,College / University,Colleges & Universities,Education
Data Scientist,FocusKPI Inc.,51 to 200 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication
Data Scientist,CloudRay Inc,51 to 200 Employees,2008,Company - Private,Information Technology Support Services,Information Technology
RESEARCH STATISTICIAN I,State of Hawaii,201 to 500 Employees,1960,Government,State & Regional Agencies,Government & Public Administration
"Sr. Data Scientist, Marketing & Growth Analytics (Remote)",CrowdStrike,5001 to 10000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology
"Analyst, Analytics Modeling and Product Development",Digitas,5001 to 10000 Employees,1980,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication
"Data Scientist, Growth Marketing","iHeartMedia, Inc.",10000+ Employees,1972,Company - Public,Broadcast Media,Media & Communication
"Associate Scientist, Data Review",Eurofins,10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Growth Data Scientist,Adobe,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology
"Data Scientist, Growth",Next Insurance,501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Insurance
Data Scientist/Statistician I,Ardent Eagle Solutions,51 to 200 Employees,2012,Company - Private,National Agencies,Government & Public Administration
Data Scientist,Clean Power Research,51 to 200 Employees,1998,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Associate Educator, Data Scientist",BrainStation,201 to 500 Employees,2012,Company - Private,Education & Training Services,Education
"Uniondale, NY",Nassau County Department of Human Services,,,,,
Statistician 1 - Alzheimer Center - Full-time,Rush University,Unknown,1837,Hospital,Health Care Services & Hospitals,Healthcare
"Data Scientist 2, Marketing Optimization Analytics",Nordstrom Inc,10000+ Employees,1901,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale
"Data Scientist, AI Research & Development",Ankura,1001 to 5000 Employees,2014,Company - Private,Business Consulting,Management & Consulting
Growth Data Scientist,VEDA DATA,51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology
Machine Learning Scientist III (Computer Vision),Expedia Group,10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology
Senior Data Scientist / Applied Statistician,LaunchDarkly,501 to 1000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology
Statistician,UCLA,1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education
Research Associate Data Scientist,Research Foundation of The City University of New York,10000+ Employees,1963,Nonprofit Organization,Research & Development,Management & Consulting
Data Scientist,Travis County,1001 to 5000 Employees,1840,Government,Municipal Agencies,Government & Public Administration
United States,Broadway Infotech,,,,,
"Irving, TX",Data Xpander,,,,,
Data Science Consultant,Sia Partners,1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting
Lead Research Scientist - Data Privacy - Preserving and Secure AI,SAP,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology
Optimization Machine Learning Postdoctoral Researcher,Lawrence Berkeley National Laboratory,1001 to 5000 Employees,1931,Government,Research & Development,Management & Consulting
"Associate Scientist, Data Review",Eurofins USA BioPharma Services,10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Data Science Analyst I - Personalized Medicine,Mount Sinai,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare
Data Scientist,Pipl,51 to 200 Employees,2007,Company - Private,Internet & Web Services,Information Technology
Senior Data Scientist,Warner Bros Careers,10000+ Employees,2022,Company - Public,Film Production,Media & Communication
Junior Data Annotation Specialist,AllStars-IT,501 to 1000 Employees,2004,Unknown,Software Development,Information Technology
Junior Data Annotation Specialist,AllStars-IT,501 to 1000 Employees,2004,Unknown,Software Development,Information Technology
"Postdoctoral Associate, Computer Vision and Machine Learning",MIT,10000+ Employees,1861,College / University,Colleges & Universities,Education
Computer Vision and Machine Learning Engineer,Apple,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology
Computer Vision and Machine Learning Engineer - Apple Vision Pro,Apple,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology
"Data Scientist, Risk Data Mining - USDS",TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
Machine Learning Researcher,Qualcomm,10000+ Employees,1985,Company - Public,Computer Hardware Development,Information Technology
Senior Applied Machine Learning Scientist,KAYAK,1001 to 5000 Employees,2004,Subsidiary or Business Segment,Internet & Web Services,Information Technology
VIE - Data Scientist,AXA Funds Management,10000+ Employees,1985,Company - Private,Insurance Carriers,Insurance
Associate Staff - Space Domain Data Scientist,MIT Lincoln Laboratory,1001 to 5000 Employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense
"Data Scientist / Credit Risk, Global Risk Decision Science",WEX Inc.,1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services
Data Scientist,"Ataraxis AI, Inc.",1 to 50 Employees,2009,Company - Private,Business Consulting,Management & Consulting
"Applied Scientist, Conversational AI ModEling and Learning",Amazon.com Services LLC,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology
Early Career Environmental Scientist Data Manager,EA Engineering Science and Technology,201 to 500 Employees,1972,Company - Private,Business Consulting,Management & Consulting
"Data Scientist, E-commerce Risk/Fraud - USDS",TikTok,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology
"Data Scientist, Research & Development - Environmental",LI-COR,201 to 500 Employees,1971,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology
Machine Learning Researcher,Booz Allen,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting
Data Scientist II - Hybrid,Radian,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance
Data Analyst Associate - Sr. Associate 1,Consolidated Nuclear Security,5001 to 10000 Employees,2007,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense
Machine Learning Engineer II,Redfin,1001 to 5000 Employees,2004,Company - Public,Real Estate,Real Estate
Staff Data Scientist 1,"Applied Research Associates, Inc",1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense
"Software Engineer III, Machine Learning, Core",Google,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology
Lead Data Scientist (Analytics Project Management),Caterpillar,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing
Sr. Data Scientist,Northern Trust Corp.,10000+ Employees,1889,Company - Public,Banking & Lending,Financial Services
VP - Data Scientist,Morgan Stanley,10000+ Employees,1935,Company - Public,Investment & Asset Management,Financial Services
Senior AI/ML Applied Scientist - Enterprise Data,SAP,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology
Data Scientist - Store Inventory,Lowe's,1001 to 5000 Employees,1921,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale
Decision Science Product Consultant,The Walt Disney Company (Corporate),10000+ Employees,1923,Company - Public,Film Production,Media & Communication
Field Data Scientist,Inari Agriculture,51 to 200 Employees,2016,Company - Private,Biotechnology,Pharmaceutical & Biotechnology
Senior Data Analyst (Pricing Team),BlueLinx,1001 to 5000 Employees,2004,Company - Public,Wholesale,Retail & Wholesale
Senior Machine Learning Engineer/Data Scientist,Oracle,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology
Associate Scientist - Data Analytics,SLAC National Accelerator Laboratory,1001 to 5000 Employees,1962,Government,National Agencies,Government & Public Administration
Data Scientist,QAVAENG CONSULTING,Unknown,--,Company - Private,Business Consulting,Management & Consulting
Data Scientist Trainee,Axle Informatics,501 to 1000 Employees,2002,Company - Private,Research & Development,Management & Consulting
Data Scientist,Visionet Systems,5001 to 10000 Employees,1995,Company - Private,Software Development,Information Technology
Data Scientist II,Amazon.com Services LLC,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology
United States,Hype AI,,,,,
"Data Scientist, Parfums Christian Dior",Christian Dior Perfumes,10000+ Employees,1947,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale
Quantitative Researcher,Man Group,1001 to 5000 Employees,1783,Company - Public,Investment & Asset Management,Financial Services
Data Scientist,EX Squared Outcoding,201 to 500 Employees,2002,Company - Private,Staffing & Subcontracting,Human Resources & Staffing
Data Scientist,"Cohu, Inc.",1001 to 5000 Employees,1947,Company - Public,Electronics Manufacturing,Manufacturing
"Chicago, IL",Diverge Health,Unknown,--,Company - Private,--,--
Statistician,NORC at the University of Chicago,1001 to 5000 Employees,1941,Nonprofit Organization,Research & Development,Management & Consulting
"Princeton, NJ",Dataline,1 to 50 Employees,--,Company - Private,--,--
Data Science,Miracle Software Systems,1001 to 5000 Employees,1994,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,PUTNAM RECRUITING GROUP,Unknown,--,Company - Private,Staffing & Subcontracting,Human Resources & Staffing
RTP-RESEARCH FELLOW- Artificial Intelligence,Mayo Clinic,10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
Data Scientist,City of Jersey City,1001 to 5000 Employees,1820,Government,Municipal Agencies,Government & Public Administration
Data Scientist,Northeastern University,1001 to 5000 Employees,1898,College / University,Colleges & Universities,Education
Actuarial Data Scientist,Expedia Group,10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology
Claim Data Scientist,Hastings Mutual Insurance Company,201 to 500 Employees,1885,Company - Private,Insurance Carriers,Insurance
Data Scientist,Bond Financial Technologies,1 to 50 Employees,2019,Company - Private,Research & Development,Management & Consulting
Data Scientist,Daxwell,1 to 50 Employees,--,Company - Private,Consumer Product Manufacturing,Manufacturing
Data Scientist,AG Grace Inc,Unknown,--,Company - Private,Security & Protective,Management & Consulting
"New York, NY","Attorney General, Office of the",Unknown,--,Company - Public,--,--
Data Scientist,Zen Strategics LLC,1 to 50 Employees,--,Self-employed,--,--
Data Scientist,Chord Energy,201 to 500 Employees,1980,Company - Public,Energy & Utilities,"Energy, Mining & Utilities"
"Knoxville, TN",R&K Cyber Solutions,1 to 50 Employees,--,Company - Private,--,--
AI Consultant,Vedainfo,201 to 500 Employees,--,Company - Private,Information Technology Support Services,Information Technology
Data Scientist,RUE GILT GROUPE,501 to 1000 Employees,2008,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale
"Sacramento, CA",California Air Resources Board,,,,,
RESEARCH FELLOW-- Artificial Intelligence,Mayo Clinic,10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare
VIE - Data Scientist,AXA Funds Management,,,,,
Manager-Data Science,Amex,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services
Manager Data Science - Analytics,Expedia Group,10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology
Artificial Intelligence & Machine Learning Research Scientist,Wolfspeed,5001 to 10000 Employees,1987,Company - Public,Electronics Manufacturing,Manufacturing
Data Scientist - Lead Business Intelligence Analyst,CME Group,1001 to 5000 Employees,2007,Company - Public,Investment & Asset Management,Financial Services
Artificial Intelligence (AI) Consultant,"Fusionworks, Inc",Unknown,--,Company - Private,Advertising & Public Relations,Media & Communication
Conversational AI Specialist,Vail Systems Inc.,201 to 500 Employees,1991,Company - Private,Software Development,Information Technology
"Chicago, IL",Kernel Trading Technologies LP,,,,,
Data Manager/Statistician,Research Foundation of The City University of New York,10000+ Employees,1963,Nonprofit Organization,Research & Development,Management & Consulting
Data Scientist,"Sandhills Global, Inc.",1001 to 5000 Employees,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology
